N_protocolo,Data_hora_agendamento,Unidade_id_unidade,Paciente_cpf
PROTOCOLO69,2024-11-11 18:29:01.773063,U8,43612731375
PROTOCOLO70,2024-11-09 22:29:01.773071,U70,43612731375
PROTOCOLO71,2024-11-15 14:29:01.773079,U74,37496881031
PROTOCOLO72,2024-11-12 03:29:01.773086,U62,13589689715
PROTOCOLO73,2024-11-27 17:29:01.773094,U71,14030548183
PROTOCOLO74,2024-11-08 12:29:01.773103,U74,36844180319
PROTOCOLO75,2024-11-13 04:29:01.773111,U97,69388500269
PROTOCOLO76,2024-11-22 21:29:01.773119,U17,89319478387
PROTOCOLO77,2024-11-07 12:29:01.773132,U75,53043508633
PROTOCOLO78,2024-11-17 03:29:01.773142,U66,47520549823
PROTOCOLO79,2024-11-26 13:29:01.773149,U37,84796272783
PROTOCOLO80,2024-12-01 15:29:01.773156,U94,38845768377
PROTOCOLO81,2024-11-12 06:29:01.773167,U8,92897509727
PROTOCOLO82,2024-11-30 12:29:01.773174,U7,26015685077
PROTOCOLO83,2024-11-20 12:29:01.773181,U15,88347896039
PROTOCOLO84,2024-11-04 03:29:01.773189,U57,92375008315
PROTOCOLO85,2024-11-07 12:29:01.773196,U6,72780678087
PROTOCOLO86,2024-11-30 18:29:01.773204,U41,64304112384
PROTOCOLO87,2024-12-02 12:29:01.773212,U0,72780678087
PROTOCOLO88,2024-11-12 21:29:01.773221,U61,58819263111
PROTOCOLO89,2024-11-13 16:29:01.773228,U25,78391896419
PROTOCOLO90,2024-11-21 04:29:01.773237,U40,50061486853
PROTOCOLO91,2024-11-13 23:29:01.773245,U88,92897509727
PROTOCOLO92,2024-11-29 22:29:01.773252,U55,50061486853
PROTOCOLO93,2024-11-07 10:29:01.773261,U96,84796272783
PROTOCOLO94,2024-12-03 09:29:01.773269,U20,86801533361
PROTOCOLO95,2024-11-21 10:29:01.773298,U27,88283961467
PROTOCOLO96,2024-11-13 11:29:01.773306,U85,78391896419
PROTOCOLO97,2024-11-23 00:29:01.773314,U77,88283961467
PROTOCOLO98,2024-11-12 10:29:01.773322,U55,84796272783
PROTOCOLO99,2024-11-20 03:29:01.773329,U90,45590587860
